received_timestamp,cardIndex,currentReward,finalKontostand,klickZeiten,timestamp,,values
2025-01-30T15:15:03.033694+00:00,,,,,,,"{""EDA"": 2.3380000591278076, ""ECG"": -0.699999988079071}"
2025-01-30T15:15:03.035310+00:00,,,,,,,"{""EDA"": 2.697000026702881, ""ECG"": 0.49399998784065247}"
2025-01-30T15:15:04.037148+00:00,,,,,,,"{""EDA"": 3.0209999084472656, ""ECG"": 0.9369999766349792}"
2025-01-30T15:15:04.037736+00:00,,,,,,,"{""EDA"": 3.24399995803833, ""ECG"": -0.10199999809265137}"
2025-01-30T15:15:04.038735+00:00,,,,,,,"{""EDA"": 3.621000051498413, ""ECG"": -0.9990000128746033}"
2025-01-30T15:15:04.038735+00:00,,,,,,,"{""EDA"": 3.9670000076293945, ""ECG"": -0.2759999930858612}"
2025-01-30T15:15:04.040285+00:00,,,,,,,"{""EDA"": 4.124000072479248, ""ECG"": 0.9200000166893005}"
2025-01-30T15:15:05.044078+00:00,,,,,,,"{""EDA"": 4.427000045776367, ""ECG"": 0.671999990940094}"
2025-01-30T15:15:05.046119+00:00,,,,,,,"{""EDA"": 4.625999927520752, ""ECG"": -0.6069999933242798}"
2025-01-30T15:15:05.048854+00:00,,,,,,,"{""EDA"": 4.73199987411499, ""ECG"": -0.8610000014305115}"
2025-01-30T15:15:05.050350+00:00,,,,,,,"{""EDA"": 4.947000026702881, ""ECG"": 0.2770000100135803}"
2025-01-30T15:15:06.030355+00:00,,,,,,,"{""EDA"": 5.004000186920166, ""ECG"": 0.968999981880188}"
2025-01-30T15:15:06.031365+00:00,,,,,,,"{""EDA"": 5.0370001792907715, ""ECG"": 0.17399999499320984}"
2025-01-30T15:15:06.031365+00:00,,,,,,,"{""EDA"": 5.050000190734863, ""ECG"": -0.906000018119812}"
2025-01-30T15:15:06.031365+00:00,,,,,,,"{""EDA"": 4.914999961853027, ""ECG"": -0.5720000267028809}"
2025-01-30T15:15:06.032903+00:00,,,,,,,"{""EDA"": 4.802999973297119, ""ECG"": 0.6700000166893005}"
2025-01-30T15:15:07.028402+00:00,,,,,,,"{""EDA"": 4.7210001945495605, ""ECG"": 0.8679999709129333}"
2025-01-30T15:15:07.029478+00:00,,,,,,,"{""EDA"": 4.461999893188477, ""ECG"": -0.24300000071525574}"
2025-01-30T15:15:07.031033+00:00,,,,,,,"{""EDA"": 4.254000186920166, ""ECG"": -0.9850000143051147}"
2025-01-30T15:15:07.031033+00:00,,,,,,,"{""EDA"": 3.9709999561309814, ""ECG"": -0.16300000250339508}"
2025-01-30T15:15:07.032038+00:00,,,,,,,"{""EDA"": 3.7360000610351562, ""ECG"": 0.8989999890327454}"
2025-01-30T15:15:08.035241+00:00,,,,,,,"{""EDA"": 3.4600000381469727, ""ECG"": 0.5830000042915344}"
2025-01-30T15:15:08.035947+00:00,,,,,,,"{""EDA"": 3.1600000858306885, ""ECG"": -0.6930000185966492}"
2025-01-30T15:15:08.036957+00:00,,,,,,,"{""EDA"": 2.811000108718872, ""ECG"": -0.9300000071525574}"
2025-01-30T15:15:08.037276+00:00,,,,,,,"{""EDA"": 2.3420000076293945, ""ECG"": 0.2809999883174896}"
2025-01-30T15:15:09.036358+00:00,,,,,,,"{""EDA"": 2.0350000858306885, ""ECG"": 1.0}"
2025-01-30T15:15:09.037462+00:00,,,,,,,"{""EDA"": 1.6979999542236328, ""ECG"": 0.19099999964237213}"
2025-01-30T15:15:09.039217+00:00,,,,,,,"{""EDA"": 1.3700000047683716, ""ECG"": -0.8899999856948853}"
2025-01-30T15:15:09.040239+00:00,,,,,,,"{""EDA"": 1.065999984741211, ""ECG"": -0.6330000162124634}"
2025-01-30T15:15:09.041285+00:00,,,,,,,"{""EDA"": 0.8479999899864197, ""ECG"": 0.6110000014305115}"
2025-01-30T15:15:10.050632+00:00,,,,,,,"{""EDA"": 0.6880000233650208, ""ECG"": 0.9129999876022339}"
2025-01-30T15:15:10.052181+00:00,,,,,,,"{""EDA"": 0.47600001096725464, ""ECG"": -0.3149999976158142}"
2025-01-30T15:15:10.054020+00:00,,,,,,,"{""EDA"": 0.33500000834465027, ""ECG"": -0.9860000014305115}"
2025-01-30T15:15:10.054997+00:00,,,,,,,"{""EDA"": 0.19699999690055847, ""ECG"": -0.13699999451637268}"
2025-01-30T15:15:10.056451+00:00,,,,,,,"{""EDA"": -0.00800000037997961, ""ECG"": 0.9139999747276306}"
2025-01-30T15:15:11.046301+00:00,,,,,,,"{""EDA"": -0.03700000047683716, ""ECG"": 0.5550000071525574}"
2025-01-30T15:15:11.047091+00:00,,,,,,,"{""EDA"": 0.09000000357627869, ""ECG"": -0.6480000019073486}"
