received_timestamp,cardIndex,currentReward,finalKontostand,klickZeiten,timestamp,,values
2025-01-31T09:22:11.813884+00:00,,,,,,,"{""EDA"": 4.485000133514404, ""ECG"": 0.6940000057220459}"
2025-01-31T09:22:11.815946+00:00,,,,,,,"{""EDA"": 4.7129998207092285, ""ECG"": -0.5770000219345093}"
2025-01-31T09:22:12.799787+00:00,,,,,,,"{""EDA"": 4.861000061035156, ""ECG"": -0.8679999709129333}"
2025-01-31T09:22:12.801593+00:00,,,,,,,"{""EDA"": 4.934000015258789, ""ECG"": 0.18700000643730164}"
2025-01-31T09:22:12.802852+00:00,,,,,,,"{""EDA"": 4.901000022888184, ""ECG"": 1.0299999713897705}"
2025-01-31T09:22:12.805223+00:00,,,,,,,"{""EDA"": 5.041999816894531, ""ECG"": 0.1770000010728836}"
2025-01-31T09:22:12.805861+00:00,,,,,,,"{""EDA"": 4.9070000648498535, ""ECG"": -0.9760000109672546}"
2025-01-31T09:22:13.804560+00:00,,,,,,,"{""EDA"": 4.955999851226807, ""ECG"": -0.4180000126361847}"
2025-01-31T09:22:13.806226+00:00,,,,,,,"{""EDA"": 4.809999942779541, ""ECG"": 0.7839999794960022}"
2025-01-31T09:22:13.807652+00:00,,,,,,,"{""EDA"": 4.711999893188477, ""ECG"": 0.7680000066757202}"
2025-01-31T09:22:13.810066+00:00,,,,,,,"{""EDA"": 4.413000106811523, ""ECG"": -0.4309999942779541}"
2025-01-31T09:22:14.812191+00:00,,,,,,,"{""EDA"": 4.2220001220703125, ""ECG"": -0.984000027179718}"
2025-01-31T09:22:14.812711+00:00,,,,,,,"{""EDA"": 4.0329999923706055, ""ECG"": 0.11299999803304672}"
2025-01-31T09:22:14.814228+00:00,,,,,,,"{""EDA"": 3.565999984741211, ""ECG"": 0.9670000076293945}"
2025-01-31T09:22:14.815284+00:00,,,,,,,"{""EDA"": 3.3989999294281006, ""ECG"": 0.24500000476837158}"
2025-01-31T09:22:14.815805+00:00,,,,,,,"{""EDA"": 2.9000000953674316, ""ECG"": -0.9610000252723694}"
