received_timestamp,cardIndex,currentReward,finalKontostand,klickZeiten,timestamp,,values
2025-01-30T15:22:13.750000+00:00,,,,,,,"{""EDA"": 2.6640000343322754, ""ECG"": 0.609000027179718}"
2025-01-30T15:22:13.751033+00:00,,,,,,,"{""EDA"": 3.058000087738037, ""ECG"": 0.9330000281333923}"
2025-01-30T15:22:14.740657+00:00,,,,,,,"{""EDA"": 3.375, ""ECG"": -0.07800000160932541}"
2025-01-30T15:22:14.741731+00:00,,,,,,,"{""EDA"": 3.640000104904175, ""ECG"": -0.9589999914169312}"
2025-01-30T15:22:14.741731+00:00,,,,,,,"{""EDA"": 3.934999942779541, ""ECG"": -0.37599998712539673}"
2025-01-30T15:22:14.741731+00:00,,,,,,,"{""EDA"": 4.150000095367432, ""ECG"": 0.7480000257492065}"
2025-01-30T15:22:14.741731+00:00,,,,,,,"{""EDA"": 4.36899995803833, ""ECG"": 0.7369999885559082}"
2025-01-30T15:22:15.754442+00:00,,,,,,,"{""EDA"": 4.675000190734863, ""ECG"": -0.42899999022483826}"
2025-01-30T15:22:15.754949+00:00,,,,,,,"{""EDA"": 4.835999965667725, ""ECG"": -0.9810000061988831}"
2025-01-30T15:22:15.754949+00:00,,,,,,,"{""EDA"": 4.886000156402588, ""ECG"": -0.08500000089406967}"
2025-01-30T15:22:15.754949+00:00,,,,,,,"{""EDA"": 4.961999893188477, ""ECG"": 0.9800000190734863}"
2025-01-30T15:22:15.754949+00:00,,,,,,,"{""EDA"": 4.973999977111816, ""ECG"": 0.5559999942779541}"
2025-01-30T15:22:16.748922+00:00,,,,,,,"{""EDA"": 5.0920000076293945, ""ECG"": -0.6470000147819519}"
2025-01-30T15:22:16.750516+00:00,,,,,,,"{""EDA"": 4.888000011444092, ""ECG"": -0.8889999985694885}"
2025-01-30T15:22:16.750516+00:00,,,,,,,"{""EDA"": 4.951000213623047, ""ECG"": 0.15199999511241913}"
2025-01-30T15:22:16.752212+00:00,,,,,,,"{""EDA"": 4.706999778747559, ""ECG"": 1.0269999504089355}"
