received_timestamp,cardIndex,currentReward,finalKontostand,klickZeiten,timestamp,,values
2025-01-30T15:20:51.052183+00:00,,,,,,,"{""EDA"": 4.796000003814697, ""ECG"": 1.0240000486373901}"
2025-01-30T15:20:51.052183+00:00,,,,,,,"{""EDA"": 4.456999778747559, ""ECG"": 0.052000001072883606}"
2025-01-30T15:20:51.053189+00:00,,,,,,,"{""EDA"": 4.296999931335449, ""ECG"": -0.9160000085830688}"
2025-01-30T15:20:51.053189+00:00,,,,,,,"{""EDA"": 3.996999979019165, ""ECG"": -0.5320000052452087}"
2025-01-30T15:20:51.053189+00:00,,,,,,,"{""EDA"": 3.75, ""ECG"": 0.6790000200271606}"
2025-01-30T15:20:51.053189+00:00,,,,,,,"{""EDA"": 3.5290000438690186, ""ECG"": 0.8960000276565552}"
2025-01-30T15:20:51.054883+00:00,,,,,,,"{""EDA"": 3.2730000019073486, ""ECG"": -0.32600000500679016}"
2025-01-30T15:20:51.054883+00:00,,,,,,,"{""EDA"": 2.816999912261963, ""ECG"": -1.0240000486373901}"
2025-01-30T15:20:51.054883+00:00,,,,,,,"{""EDA"": 2.5859999656677246, ""ECG"": -0.07900000363588333}"
2025-01-30T15:20:51.055898+00:00,,,,,,,"{""EDA"": 2.252000093460083, ""ECG"": 0.9549999833106995}"
2025-01-30T15:20:51.055898+00:00,,,,,,,"{""EDA"": 1.8760000467300415, ""ECG"": 0.5490000247955322}"
2025-01-30T15:20:51.055898+00:00,,,,,,,"{""EDA"": 1.621999979019165, ""ECG"": -0.699999988079071}"
2025-01-30T15:20:51.056910+00:00,,,,,,,"{""EDA"": 1.3539999723434448, ""ECG"": -0.8309999704360962}"
2025-01-30T15:20:51.056910+00:00,,,,,,,"{""EDA"": 0.8939999938011169, ""ECG"": 0.2630000114440918}"
2025-01-30T15:20:51.057921+00:00,,,,,,,"{""EDA"": 0.7139999866485596, ""ECG"": 0.9950000047683716}"
